Account_Num,Loan_Type,Property_Type,Units,LTV,ARV,LTC,Interest_Rate,Monthly_Payment,Origination_Fee,Service_Fee,Location,Occupancy,Developmental_Stage,Repeat_Borrower,Credit_Score,Credit_Rating,Sponsor_Track_Record,Sponsor_Experience,Risk_Grade,Risk_Score,Status
39,Purchase,Residential,1,54.33%,0.00%,80.00%,12.00%,1820,1.00%,2.00%,Urban,Low,Value-Add,No,700-759,Good,$10-40 Million,Experienced,A-,13,1
40,Refinance,Mixed Use,6,70.33%,0.00%,0.00%,12.00%,4220,2.00%,2.00%,Urban,Hign,Stabilized,Yes,680-699,High Acceptable,< $10 Million,Experienced,A,11,1
41,Refinance,Mixed Use,6,69.23%,0.00%,0.00%,12.00%,4500,2.00%,2.00%,Urban,Hign,Stabilized,Yes,680-699,High Acceptable,< $10 Million,Experienced,A,11,1
42,Purchase,Residential,1,71.38%,0.00%,80.00%,14.00%,16240,3.00%,2.00%,Suburban,Low,Value-Add,No,700-759,Good,< $10 Million,New to Market/Phase,B-,17,1
43,Refinance,Residential,1,68.42%,0.00%,0.00%,12.00%,3250,0.00%,2.00%,Suburban,Low,Stabilized,Yes,700-759,Good,$10-40 Million,Experienced,A,10,1
44,Refinance,Residential,3,50.00%,0.00%,0.00%,12.00%,9000,2.00%,2.00%,Urban,Hign,Stabilized,Yes,760-850,Excellent,$10-40 Million,Experienced,A+,6,1
45,Refinance,Residential,2,81.46%,23.00%,139.64%,13.00%,21179.17,1.25%,2.00%,Urban,Low,Value-Add,Yes,650-679,Very Poor,$10-40 Million,Experienced,B,16,1
46,Purchase,Residential,1,53.33%,0.00%,44.44%,12.00%,1600,2.00%,2.00%,Urban,Low,Value-Add,Yes,680-699,High Acceptable,$10-40 Million,Experienced,B+,14,1
47,Refinance,Multi-Family,13,80.00%,0.00%,0.00%,12.00%,10800,2.00%,2.00%,Urban,Hign,Stabilized,Yes,680-699,High Acceptable,$10-40 Million,Experienced,A,11,1
48,Refinance,Residential,1,16.19%,0.00%,0.00%,13.00%,2437.5,1.00%,2.00%,Urban,Low,Value-Add,Yes,700-759,Good,$10-40 Million,Experienced,A,9,1
49,Purchase,Mixed Use,3,80.00%,0.00%,80.00%,12.00%,25600,2.50%,2.00%,Urban,Hign,Stabilized,No,650-679,Low Acceptable,$10-40 Million,Experienced,A-,12,6
50,Purchase,Commercial,3,71.33%,0.00%,85.60%,13.00%,4636.67,2.00%,2.00%,Urban,Low,Value-Add,No,680-699,High Acceptable,< $10 Million,New to Market/Phase,C+,18,1
51,Refinance,Residential,1,3.48%,0.00%,0.00%,12.00%,1600,1.00%,2.00%,Suburban,Hign,Stabilized,Yes,650-679,Low Acceptable,$10-40 Million,Experienced,A,9,1
52,Purchase,Commercial,3,54.70%,0.00%,78.28%,12.00%,3750,2.00%,2.00%,Suburban,Low,Value-Add,No,680-699,High Acceptable,$10-40 Million,Experienced,A-,13,1
53,Refinance,Residential,2,70.00%,0.00%,0.00%,12.00%,10500,2.00%,2.00%,Urban,Low,Value-Add,No,650-679,Low Acceptable,< $10 Million,Experienced,B+,15,1
54,Purchase,Residential,1,78.57%,62.86%,128.00%,13.00%,19066.67,2.00%,2.00%,Suburban,Low,Value-Add,No,700-759,Good,$10-40 Million,Experienced,B+,14,1
55,Purchase,Mixed Use,3,13.43%,0.00%,76.92%,12.00%,10000,2.00%,2.00%,Urban,Low,Ground Up,Yes,760-850,Excellent,$10-40 Million,Experienced,A,9,1
56,Purchase,Commercial,1,59.15%,0.00%,131.25%,12.00%,21000,2.00%,2.00%,Urban,Low,Value-Add,Yes,680-699,High Acceptable,$10-40 Million,Experienced,A,11,1
57,Purchase,Residential,1,30.08%,0.00%,44.57%,13.00%,7821.67,2.00%,2.00%,Urban,Low,Value-Add,Yes,650-679,Low Acceptable,$10-40 Million,Experienced,A,11,1
58,Purchase,Residential,1,50.00%,0.00%,140.19%,12.00%,15000,2.00%,2.00%,Urban,Hign,Stabilized,No,700-759,Good,< $10 Million,Moderate Experience,A,9,1
59,Purchase,Residential,1,85.00%,31.17%,103.89%,13.00%,10129.17,1.25%,2.00%,Urban,Low,Value-Add,Yes,650-679,Low Acceptable,$10-40 Million,Experienced,A,11,1
60,Purchase,Residential,3,20.12%,33.09%,105.51%,13.00%,9858.33,1.25%,2.00%,Urban,Low,Value-Add,Yes,650-679,Low Acceptable,$10-40 Million,Experienced,A,12,1
61,Purchase,Residential,1,80.00%,42.11%,77.67%,12.00%,40000,1.00%,2.00%,Urban,Low,Value-Add,Yes,700-759,Good,$41-100 Million,Very Experienced,A,10,1
62,Purchase,Residential,1,31.74%,16.71%,30.82%,12.00%,15870,1.00%,2.00%,Urban,Low,Value-Add,Yes,700-759,Good,$41-100 Million,Very Experienced,A+,6,1
63,Purchase,Residential,1,50.38%,0.00%,96.97%,12.00%,3200,2.00%,2.00%,Suburban,Low,Value-Add,No,700-759,Good,< $10 Million,Experienced,A-,13,1
64,Refinance,Residential,1,70.00%,0.00%,0.00%,12.00%,1400,2.00%,2.00%,Suburban,Hign,Stabilized,Yes,700-759,Good,< $10 Million,Experienced,A,11,1
65,Refinance,Residential,1,70.00%,0.00%,0.00%,12.00%,1750,2.00%,2.00%,Suburban,Hign,Stabilized,Yes,700-759,Good,< $10 Million,Experienced,A,11,1
66,Refinance,Multi-Family,13,80.00%,0.00%,0.00%,12.00%,5600,2.00%,2.00%,Urban,Hign,Stabilized,Yes,650-679,Low Acceptable,$10-40 Million,Experienced,A-,12,1
67,Refinance,Multi-Family,6,64.00%,0.00%,0.00%,12.00%,4480,2.00%,2.00%,Urban,Hign,Stabilized,Yes,650-679,Low Acceptable,$10-40 Million,Experienced,A,10,1
68,Purchase,Multi-Family,5,48.00%,56.00%,134.81%,12.00%,3640,2.00%,2.00%,Urban,Low,Value-Add,Yes,650-679,Low Acceptable,$10-40 Million,Experienced,B+,15,1
69,Purchase,Residential,1,43.08%,58.95%,52.83%,12.00%,5600,3.00%,2.00%,Urban,Hign,Stabilized,Yes,650-679,Low Acceptable,$10-40 Million,Experienced,A-,12,1
70,Refinance,Residential,1,8.00%,0.00%,0.00%,12.00%,700,2.00%,2.00%,Urban,Hign,Stabilized,Yes,650-679,Low Acceptable,$10-40 Million,Experienced,A,12,1
71,Refinance,Residential,2,70.20%,0.00%,0.00%,12.00%,1720,2.00%,2.00%,Suburban,Hign,Stabilized,Yes,700-759,Good,< $10 Million,Experienced,A,11,1
72,Purchase,Residential,1,25.00%,34.62%,80.00%,12.00%,1800,2.00%,2.00%,Suburban,Low,Value-Add,Yes,680-699,High Acceptable,< $10 Million,Very Experienced,A,10,1
73,Purchase,Residential,1,29.39%,0.00%,65.91%,12.00%,14500,2.00%,4.67%,Urban,Low,Value-Add,Yes,680-699,High Acceptable,$10-40 Million,Experienced,A,10,1
74,Purchase,Residential,1,56.94%,47.45%,80.17%,12.00%,2420,2.00%,2.00%,Suburban,Low,Value-Add,No,650-679,Low Acceptable,< $10 Million,Moderate Experience,B+,15,1
75,Purchase,Residential,1,80.00%,50.73%,57.78%,12.00%,4160,2.00%,2.00%,Suburban,Low,Value-Add,Yes,680-699,High Acceptable,< $10 Million,Very Experienced,B+,14,1
76,Purchase,Residential,1,80.00%,68.08%,100.57%,12.00%,1770,2.00%,2.00%,Suburban,Low,Value-Add,Yes,680-699,High Acceptable,< $10 Million,Moderate Experience,B-,17,1
77,Purchase,Residential,3,84.94%,38.00%,106.96%,12.00%,7220,2.00%,2.00%,Urban,Low,Value-Add,Yes,700-759,Good,$10-40 Million,Experienced,A-,13,1
78,Purchase,Residential,1,63.19%,0.00%,182.00%,12.00%,4550,2.50%,2.00%,Urban,Low,Stabilized,Yes,760-850,Excellent,$10-40 Million,Experienced,A,10,1
79,Purchase,Residential,1,59.11%,30.40%,36.97%,12.00%,2660,2.50%,2.00%,Urban,Low,Value-Add,Yes,760-850,Excellent,$10-40 Million,Experienced,A,9,1
80,Refinance,Residential,1,58.44%,32.47%,0.00%,12.00%,2630,2.50%,2.00%,Urban,Low,Value-Add,Yes,760-850,Excellent,$10-40 Million,Experienced,A+,7,1
81,Purchase,Residential,1,71.43%,43.10%,150.60%,12.00%,1250,2.50%,0.00%,Urban,Low,Value-Add,Yes,760-850,Excellent,$10-40 Million,Experienced,A,9,1
82,Refinance,Residential,1,60.00%,35.00%,105.42%,12.00%,1050,2.50%,0.00%,Urban,Low,Value-Add,Yes,760-850,Excellent,$10-40 Million,Experienced,A,10,1
83,Purchase,Residential,1,55.33%,36.09%,66.26%,12.00%,830,2.50%,0.00%,Urban,Low,Value-Add,Yes,760-850,Excellent,$10-40 Million,Experienced,A,11,1
84,Refinance,Multi-Family,13,76.00%,0.00%,0.00%,12.00%,7600,2.00%,0.00%,Urban,Hign,Stabilized,Yes,700-759,Good,< $10 Million,Experienced,A,10,1
85,Refinance,Residential,2,29.63%,0.00%,0.00%,12.00%,4000,1.00%,2.00%,Urban,Low,Value-Add,Yes,700-759,Good,$10-40 Million,Experienced,A-,12,1
86,Refinance,Residential,1,8.98%,20.00%,0.00%,12.00%,1450,2.00%,2.00%,Suburban,Low,Value-Add,No,680-699,High Acceptable,$10-40 Million,Experienced,A,11,1
87,Purchase,Multi-Family,8,45.00%,46.00%,81.18%,13.00%,17940,2.00%,2.00%,Urban,Low,Value-Add,Yes,700-759,Good,$10-40 Million,Experienced,A,9,1
88,Purchase,Residential,1,74.92%,0.00%,100.00%,12.00%,2210,2.00%,2.00%,Suburban,Low,Value-Add,No,650-679,Low Acceptable,< $10 Million,Moderate Experience,B-,17,1
89,Purchase,Residential,1,84.29%,44.25%,103.51%,13.00%,19175,1.25%,2.00%,Urban,Low,Value-Add,Yes,650-679,Low Acceptable,$10-40 Million,Experienced,B+,15,1
90,Purchase,Residential,1,15.52%,15.52%,121.90%,12.00%,2560,2.00%,4.81%,Urban,Low,Value-Add,Yes,680-699,High Acceptable,$10-40 Million,Experienced,B+,14,1
91,Purchase,Multi-Family,6,48.00%,43.33%,138.67%,12.00%,2080,2.00%,2.00%,Urban,Low,Value-Add,No,700-759,Good,$10-40 Million,Experienced,A-,13,1
92,Purchase,Residential,1,79.96%,0.00%,79.96%,12.00%,24800,2.00%,2.00%,Urban,Low,Value-Add,Yes,700-759,Good,$10-40 Million,Experienced,A-,11,1
93,Refinance,Commercial,1,50.00%,0.00%,0.00%,12.00%,110000,2.00%,2.00%,Urban,Low,Value-Add,Yes,700-759,Good,$10-40 Million,Experienced,A,11,1
94,Refinance,Residential,2,62.04%,0.00%,0.00%,12.00%,1520,2.00%,2.00%,Urban,Hign,Stabilized,Yes,700-759,Good,$10-40 Million,Experienced,A+,7,1
95,Refinance,Residential,2,60.41%,0.00%,0.00%,12.00%,1480,1.80%,2.00%,Urban,Hign,Stabilized,Yes,700-759,Good,$10-40 Million,Experienced,A,8,1
96,Purchase,Residential,1,63.23%,0.00%,30.27%,12.00%,9800,2.00%,2.00%,Suburban,Low,Ground Up,No,700-759,Good,$10-40 Million,Experienced,A-,13,1
97,Purchase,Residential,1,70.91%,55.52%,95.55%,14.00%,2170,4.00%,2.00%,Suburban,Low,Value-Add,Yes,760-850,Excellent,$101-200 Million,Experienced,A,11,1
98,Refinance,Residential,1,39.27%,0.00%,0.00%,12.00%,1080,2.00%,2.00%,Urban,Hign,Stabilized,Yes,700-759,Good,$10-40 Million,Experienced,A+,6,1
99,Refinance,Residential,1,72.73%,0.00%,0.00%,12.00%,4000,2.00%,2.00%,Urban,Hign,Stabilized,No,650-679,Low Acceptable,< $10 Million,Moderate Experience,A-,13,1
100,Refinance,Residential,1,43.20%,0.00%,0.00%,12.00%,3240,2.00%,2.00%,Suburban,Hign,Stabilized,Yes,700-759,Good,$10-40 Million,Experienced,A+,7,1
101,Purchase,Residential,1,50.00%,32.57%,49.26%,12.00%,2000,2.00%,2.00%,Urban,Low,Value-Add,No,700-759,Good,$10-40 Million,Experienced,A,9,1
102,Purchase,Residential,1,26.00%,0.00%,119.48%,12.00%,2300,2.00%,2.00%,Suburban,Low,Value-Add,Yes,760-850,Excellent,$10-40 Million,Experienced,A,9,1
103,Refinance,Mixed Use,0,60.00%,0.00%,0.00%,12.00%,4500,1.80%,2.00%,Urban,Low,Value-Add,Yes,700-759,Good,$10-40 Million,Experienced,A,11,1
104,Purchase,Residential,1,33.33%,0.00%,131.25%,12.00%,2100,2.00%,2.00%,Suburban,Low,Value-Add,Yes,760-850,Excellent,$10-40 Million,Experienced,A,10,1
105,Purchase,Mixed Use,13,80.00%,45.33%,61.32%,11.00%,31166.67,0.00%,1.00%,Urban,Low,Value-Add,Yes,700-759,Good,$10-40 Million,Experienced,A-,12,1
106,Purchase,Commercial,0,73.37%,0.00%,0.00%,13.00%,10968.75,2.25%,1.00%,Urban,Moderate,Value-Add,No,760-850,Excellent,< $10 Million,New to Market/Phase,A-,13,2
107,Refinance,Residential,1,51.02%,0.00%,0.00%,12.00%,5000,4.00%,0.00%,Urban,Moderate,Stabilized,No,700-759,Good,< $10 Million,Experienced,A,9,1
108,Purchase,Mixed Use,5,4.89%,0.00%,10.00%,13.00%,731.25,2.25%,1.00%,Urban,Moderate,Value-Add,No,760-850,Excellent,< $10 Million,Moderate Experience,B+,14,1
109,Purchase,Mixed Use,7,80.00%,57.14%,70.92%,12.00%,40000,3.00%,2.00%,Urban,Low,Value-Add,Yes,650-679,Low Acceptable,$41-100 Million,Experienced,A-,13,1
110,Refinance,Residential,1,64.29%,0.00%,0.00%,12.00%,4500,1.80%,2.00%,Urban,Hign,Stabilized,Yes,700-759,Good,$10-40 Million,Experienced,A,8,1
111,Purchase,Residential,1,55.81%,0.00%,80.00%,12.00%,12000,1.00%,2.00%,Urban,Low,Value-Add,Yes,700-759,Good,$10-40 Million,Experienced,A,10,1
112,Refinance,Residential,2,64.64%,0.00%,0.00%,12.00%,1170,1.80%,0.00%,Suburban,Hign,Stabilized,Yes,700-759,Good,$10-40 Million,Experienced,A,9,1
113,Refinance,Residential,1,64.61%,0.00%,0.00%,12.00%,1150,1.80%,2.00%,Suburban,Hign,Stabilized,Yes,700-759,Good,$10-40 Million,Experienced,A+,9,1
114,Refinance,Commercial,11,66.67%,0.00%,0.00%,12.00%,5500,2.00%,2.00%,Suburban,Low,Value-Add,Yes,650-679,Low Acceptable,$10-40 Million,Experienced,B+,14,10
115,Refinance,Residential,1,55.00%,0.00%,0.00%,12.00%,1017.5,1.80%,2.00%,Suburban,Low,Stabilized,Yes,700-759,Good,$10-40 Million,Experienced,A,10,1
116,Refinance,Residential,1,55.00%,0.00%,0.00%,12.00%,1116.5,1.80%,2.00%,Suburban,Low,Stabilized,Yes,700-759,Good,$10-40 Million,Experienced,A,10,1
117,Refinance,Residential,1,55.00%,0.00%,0.00%,12.00%,1017.5,1.80%,2.00%,Suburban,Low,Stabilized,Yes,700-759,Good,$10-40 Million,Experienced,A,10,1
118,Refinance,Residential,2,55.00%,0.00%,0.00%,12.00%,968,1.80%,2.00%,Suburban,Low,Stabilized,Yes,700-759,Good,$10-40 Million,Experienced,A,10,1
119,Purchase,Mixed Use,7,5.63%,3.21%,3.99%,12.00%,2250,1.50%,2.00%,Urban,Low,Value-Add,Yes,650-679,Low Acceptable,$41-100 Million,Experienced,B+,14,1
120,Refinance,Residential,3,23.69%,0.00%,0.00%,12.00%,1240,2.00%,2.00%,Urban,Low,Stabilized,No,700-759,Good,< $10 Million,Experienced,A,9,1
121,Refinance,Residential,1,64.29%,0.00%,0.00%,12.00%,4500,1.80%,2.00%,Suburban,Low,Stabilized,Yes,700-759,Good,$10-40 Million,Experienced,A-,11,1
122,Refinance,Commercial,1,61.64%,0.00%,0.00%,12.00%,17260,2.75%,0.00%,Rural,Moderate,Value-Add,No,700-759,Good,< $10 Million,Experienced,A-,13,10
123,Purchase,Residential,1,48.75%,0.00%,92.31%,12.00%,4800,2.00%,2.00%,Urban,Low,Value-Add,No,700-759,Good,< $10 Million,Experienced,A-,12,1
124,Refinance,Residential,1,25.71%,0.00%,38.09%,12.00%,6170,2.00%,2.00%,Urban,Low,Value-Add,Yes,650-679,Very Poor,$10-40 Million,Experienced,B-,17,1
125,Refinance,Residential,1,64.88%,0.00%,0.00%,13.00%,1440.83,3.00%,2.00%,Suburban,Low,Stabilized,Yes,700-759,Good,$41-100 Million,Experienced,A,10,1
126,Refinance,Residential,1,65.22%,0.00%,0.00%,13.00%,1137.5,3.00%,2.00%,Suburban,Low,Stabilized,Yes,700-759,Good,$41-100 Million,Experienced,A,10,1
127,Refinance,Residential,1,64.95%,0.00%,0.00%,13.00%,1365,3.00%,2.00%,Suburban,Low,Stabilized,Yes,700-759,Good,$41-100 Million,Experienced,A,10,1
128,Purchase,Commercial,6,74.30%,0.00%,74.98%,12.00%,12260,4.00%,2.00%,Suburban,Hign,Stabilized,No,760-850,Excellent,< $10 Million,Experienced,A,10,1
129,Purchase,Residential,1,42.67%,0.00%,79.95%,12.00%,4240,0.00%,2.00%,Suburban,Low,Value-Add,Yes,650-679,Low Acceptable,$10-40 Million,Very Experienced,A,11,1
130,Refinance,Residential,1,17.91%,26.27%,87.56%,12.00%,7880,2.00%,2.00%,Urban,Low,Value-Add,Yes,650-679,Low Acceptable,$10-40 Million,Experienced,A,16,1
131,Purchase,Residential,1,22.37%,0.00%,25.76%,12.00%,4250,0.00%,2.00%,Suburban,Hign,Stabilized,No,760-850,Excellent,< $10 Million,Moderate Experience,A,8,1
132,Purchase,Residential,1,37.21%,0.00%,80.00%,12.00%,800,5.00%,2.00%,Suburban,Low,Value-Add,Yes,650-679,Low Acceptable,< $10 Million,Moderate Experience,B+,14,1
133,Purchase,Residential,2,58.33%,0.00%,80.00%,12.00%,1400,5.00%,2.00%,Suburban,Low,Value-Add,Yes,650-679,Low Acceptable,< $10 Million,Moderate Experience,B+,15,1
134,Refinance,Residential,1,20.35%,20.35%,39.10%,12.00%,8140,2.00%,2.00%,Urban,Low,Value-Add,Yes,650-679,Low Acceptable,$41-100 Million,Experienced,B,16,1
135,Purchase,Residential,1,80.00%,50.91%,70.00%,12.00%,8400,2.00%,2.00%,Urban,Low,Value-Add,Yes,700-759,Good,$41-100 Million,Experienced,A-,12,1
136,Purchase,Mixed Use,8,80.00%,60.61%,80.00%,10.00%,8333.33,2.00%,0.00%,Urban,Low,Value-Add,Yes,760-850,Excellent,$41-100 Million,Experienced,A,9,1
137,Refinance,Land,0,27.78%,0.00%,0.00%,12.00%,10000,1.50%,2.00%,Suburban,Low,Value-Add,No,700-759,Good,$10-40 Million,Experienced,A,8,1
138,Purchase,Residential,1,74.00%,60.65%,80.00%,12.00%,1880,2.00%,2.00%,Suburban,Low,Value-Add,Yes,680-699,High Acceptable,< $10 Million,Moderate Experience,B,16,1
139,Purchase,Residential,1,46.88%,0.00%,375.00%,12.00%,11250,4.00%,2.00%,Urban,Hign,Stabilized,No,650-679,Low Acceptable,< $10 Million,New to Market/Phase,A,11,2
140,Purchase,Commercial,1,13.63%,0.00%,80.00%,12.00%,920,3.50%,2.00%,Rural,Hign,Stabilized,Yes,650-679,Low Acceptable,$10-40 Million,Experienced,A,10,1
141,Refinance,Residential,1,74.29%,0.00%,0.00%,13.00%,563.33,3.85%,2.00%,Urban,Hign,Stabilized,No,650-679,Low Acceptable,< $10 Million,Experienced,A,11,1
142,Refinance,Residential,1,74.29%,0.00%,65.00%,13.00%,563.33,3.85%,2.00%,Urban,Hign,Stabilized,No,650-679,Low Acceptable,< $10 Million,Experienced,A,11,1
143,Refinance,Mixed Use,35,66.67%,0.00%,0.00%,13.00%,21666.67,3.00%,2.00%,Suburban,Hign,Stabilized,Yes,700-759,Good,$101-200 Million,Very Experienced,A+,5,1
144,Refinance,Multi-Family,27,65.00%,0.00%,0.00%,13.00%,21829.17,3.00%,2.00%,Suburban,Hign,Stabilized,Yes,700-759,Good,$101-200 Million,Very Experienced,A+,5,1
145,Refinance,Multi-Family,8,65.00%,0.00%,0.00%,13.00%,7041.67,3.00%,2.00%,Suburban,Hign,Stabilized,Yes,700-759,Good,$101-200 Million,Very Experienced,A+,5,1
146,Refinance,Multi-Family,15,63.95%,0.00%,0.00%,13.00%,13162.5,3.00%,2.00%,Suburban,Hign,Stabilized,Yes,700-759,Good,$101-200 Million,Very Experienced,A+,5,1
