Account_Num,Loan_Type,Property_Type,Units,LTV,ARV,LT2,Interest_Rate,Monthly_Payment,Origination_Fee,Service_Fee,Location,Occupancy,Developmental_Stage,Repeat_Borrower,Credit_Score,Credit_Rating,Sponsor_Track_Record,Sponsor_Experience,Risk_Grade,Risk_Score,target
65,0,0,1,70.00,0.00,0.00,12.00,1750,2.00,2.00,1,2,1,1,5,4,0,2,8,11,1
66,0,2,13,80.00,0.00,0.00,12.00,5600,2.00,2.00,0,2,1,1,3,03,1,2,8-,12,1
67,0,2,6,64.00,0.00,0.00,12.00,4480,2.00,2.00,0,2,1,1,3,03,1,2,8,10,1
68,1,2,5,48.00,56.00,134.81,12.00,3640,2.00,2.00,0,0,0,1,3,03,1,2,6,15,1
69,1,0,1,43.08,58.95,52.83,12.00,5600,3.00,2.00,0,2,1,1,3,03,1,2,8-,12,1
70,0,0,1,8.00,0.00,0.00,12.00,700,2.00,2.00,0,2,1,1,3,03,1,2,8,12,1
71,0,0,2,70.20,0.00,0.00,12.00,1720,2.00,2.00,1,2,1,1,5,4,0,2,8,11,1
72,1,0,1,25.00,34.62,80.00,12.00,1800,2.00,2.00,1,0,0,1,4,23,0,4,8,10,1
73,1,0,1,29.39,0.00,65.91,12.00,14500,2.00,4.67,0,0,0,1,4,23,1,2,8,10,1
74,1,0,1,56.94,47.45,80.17,12.00,2420,2.00,2.00,1,0,0,0,3,03,0,3,6,15,1
75,1,0,1,80.00,50.73,57.78,12.00,4160,2.00,2.00,1,0,0,1,4,23,0,4,6,14,1
76,1,0,1,80.00,68.08,100.57,12.00,1770,2.00,2.00,1,0,0,1,4,23,0,3,5-,17,1
77,1,0,3,84.94,38.00,106.96,12.00,7220,2.00,2.00,0,0,0,1,5,4,1,2,8-,13,1
78,1,0,1,63.19,0.00,182.00,12.00,4550,2.50,2.00,0,0,1,1,6,6,1,2,8,10,1
79,1,0,1,59.11,30.40,36.97,12.00,2660,2.50,2.00,0,0,0,1,6,6,1,2,8,9,1
80,0,0,1,58.44,32.47,0.00,12.00,2630,2.50,2.00,0,0,0,1,6,6,1,2,9,7,1
81,1,0,1,71.43,43.10,150.60,12.00,1250,2.50,0.00,0,0,0,1,6,6,1,2,8,9,1
82,0,0,1,60.00,35.00,105.42,12.00,1050,2.50,0.00,0,0,0,1,6,6,1,2,8,10,1
83,1,0,1,55.33,36.09,66.26,12.00,830,2.50,0.00,0,0,0,1,6,6,1,2,8,11,1
84,0,2,13,76.00,0.00,0.00,12.00,7600,2.00,0.00,0,2,1,1,5,4,0,2,8,10,1
85,0,0,2,29.63,0.00,0.00,12.00,4000,1.00,2.00,0,0,0,1,5,4,1,2,8-,12,1
86,0,0,1,8.98,20.00,0.00,12.00,1450,2.00,2.00,1,0,0,0,4,23,1,2,8,11,1
87,1,2,8,45.00,46.00,81.18,13.00,17940,2.00,2.00,0,0,0,1,5,4,1,2,8,9,1
88,1,0,1,74.92,0.00,100.00,12.00,2210,2.00,2.00,1,0,0,0,3,03,0,3,5-,17,1
89,1,0,1,84.29,44.25,103.51,13.00,19175,1.25,2.00,0,0,0,1,3,03,1,2,6,15,1
90,1,0,1,15.52,15.52,121.90,12.00,2560,2.00,4.81,0,0,0,1,4,23,1,2,6,14,1
91,1,2,6,48.00,43.33,138.67,12.00,2080,2.00,2.00,0,0,0,0,5,4,1,2,8-,13,1
92,1,0,1,79.96,0.00,79.96,12.00,24800,2.00,2.00,0,0,0,1,5,4,1,2,8-,11,1
93,0,3,1,50.00,0.00,0.00,12.00,110000,2.00,2.00,0,0,0,1,5,4,1,2,8,11,1
94,0,0,2,62.04,0.00,0.00,12.00,1520,2.00,2.00,0,2,1,1,5,4,1,2,9,7,1
95,0,0,2,60.41,0.00,0.00,12.00,1480,1.80,2.00,0,2,1,1,5,4,1,2,8,8,1
96,1,0,1,63.23,0.00,30.27,12.00,9800,2.00,2.00,1,0,2,0,5,4,1,2,8-,13,1
97,1,0,1,70.91,55.52,95.55,14.00,2170,4.00,2.00,1,0,0,1,6,6,3,2,8,11,1
98,0,0,1,39.27,0.00,0.00,12.00,1080,2.00,2.00,0,2,1,1,5,4,1,2,9,6,1
99,0,0,1,72.73,0.00,0.00,12.00,4000,2.00,2.00,0,2,1,0,3,03,0,3,8-,13,1
100,0,0,1,43.20,0.00,0.00,12.00,3240,2.00,2.00,1,2,1,1,5,4,1,2,9,7,1
101,1,0,1,50.00,32.57,49.26,12.00,2000,2.00,2.00,0,0,0,0,5,4,1,2,8,9,1
102,1,0,1,26.00,0.00,119.48,12.00,2300,2.00,2.00,1,0,0,1,6,6,1,2,8,9,1
103,0,1,0,60.00,0.00,0.00,12.00,4500,1.80,2.00,0,0,0,1,5,4,1,2,8,11,1
104,1,0,1,33.33,0.00,131.25,12.00,2100,2.00,2.00,1,0,0,1,6,6,1,2,8,10,1
105,1,1,13,80.00,45.33,61.32,11.00,31166.67,0.00,1.00,0,0,0,1,5,4,1,2,8-,12,1
106,1,3,0,73.37,0.00,0.00,13.00,10968.75,2.25,1.00,0,1,0,0,6,6,0,1,8-,13,2
107,0,0,1,51.02,0.00,0.00,12.00,5000,4.00,0.00,0,1,1,0,5,4,0,2,8,9,1
108,1,1,5,4.89,0.00,10.00,13.00,731.25,2.25,1.00,0,1,0,0,6,6,0,3,6,14,1
109,1,1,7,80.00,57.14,70.92,12.00,40000,3.00,2.00,0,0,0,1,3,03,2,2,8-,13,1
110,0,0,1,64.29,0.00,0.00,12.00,4500,1.80,2.00,0,2,1,1,5,4,1,2,8,8,1
111,1,0,1,55.81,0.00,80.00,12.00,12000,1.00,2.00,0,0,0,1,5,4,1,2,8,10,1
112,0,0,2,64.64,0.00,0.00,12.00,1170,1.80,0.00,1,2,1,1,5,4,1,2,8,9,1
113,0,0,1,64.61,0.00,0.00,12.00,1150,1.80,2.00,1,2,1,1,5,4,1,2,9,9,1
114,0,3,11,66.67,0.00,0.00,12.00,5500,2.00,2.00,1,0,0,1,3,03,1,2,6,14,10
115,0,0,1,55.00,0.00,0.00,12.00,1017.5,1.80,2.00,1,0,1,1,5,4,1,2,8,10,1
116,0,0,1,55.00,0.00,0.00,12.00,1116.5,1.80,2.00,1,0,1,1,5,4,1,2,8,10,1
117,0,0,1,55.00,0.00,0.00,12.00,1017.5,1.80,2.00,1,0,1,1,5,4,1,2,8,10,1
118,0,0,2,55.00,0.00,0.00,12.00,968,1.80,2.00,1,0,1,1,5,4,1,2,8,10,1
119,1,1,7,5.63,3.21,3.99,12.00,2250,1.50,2.00,0,0,0,1,3,03,2,2,6,14,1
120,0,0,3,23.69,0.00,0.00,12.00,1240,2.00,2.00,0,0,1,0,5,4,0,2,8,9,1
121,0,0,1,64.29,0.00,0.00,12.00,4500,1.80,2.00,1,0,1,1,5,4,1,2,8-,11,1
122,0,3,1,61.64,0.00,0.00,12.00,17260,2.75,0.00,2,1,0,0,5,4,0,2,8-,13,10
123,1,0,1,48.75,0.00,92.31,12.00,4800,2.00,2.00,0,0,0,0,5,4,0,2,8-,12,1
124,0,0,1,25.71,0.00,38.09,12.00,6170,2.00,2.00,0,0,0,1,3,1,1,2,5-,17,1
125,0,0,1,64.88,0.00,0.00,13.00,1440.83,3.00,2.00,1,0,1,1,5,4,2,2,8,10,1
126,0,0,1,65.22,0.00,0.00,13.00,1137.5,3.00,2.00,1,0,1,1,5,4,2,2,8,10,1
127,0,0,1,64.95,0.00,0.00,13.00,1365,3.00,2.00,1,0,1,1,5,4,2,2,8,10,1
128,1,3,6,74.30,0.00,74.98,12.00,12260,4.00,2.00,1,2,1,0,6,6,0,2,8,10,1
129,1,0,1,42.67,0.00,79.95,12.00,4240,0.00,2.00,1,0,0,1,3,03,1,4,8,11,1
130,0,0,1,17.91,26.27,87.56,12.00,7880,2.00,2.00,0,0,0,1,3,03,1,2,8,16,1
131,1,0,1,22.37,0.00,25.76,12.00,4250,0.00,2.00,1,2,1,0,6,6,0,3,8,8,1
132,1,0,1,37.21,0.00,80.00,12.00,800,5.00,2.00,1,0,0,1,3,03,0,3,6,14,1
133,1,0,2,58.33,0.00,80.00,12.00,1400,5.00,2.00,1,0,0,1,3,03,0,3,6,15,1
134,0,0,1,20.35,20.35,39.10,12.00,8140,2.00,2.00,0,0,0,1,3,03,2,2,5,16,1
135,1,0,1,80.00,50.91,70.00,12.00,8400,2.00,2.00,0,0,0,1,5,4,2,2,8-,12,1
136,1,1,8,80.00,60.61,80.00,10.00,8333.33,2.00,0.00,0,0,0,1,6,6,2,2,8,9,1
137,0,4,0,27.78,0.00,0.00,12.00,10000,1.50,2.00,1,0,0,0,5,4,1,2,8,8,1
138,1,0,1,74.00,60.65,80.00,12.00,1880,2.00,2.00,1,0,0,1,4,23,0,3,5,16,1
139,1,0,1,46.88,0.00,375.00,12.00,11250,4.00,2.00,0,2,1,0,3,03,0,1,8,11,2
140,1,3,1,13.63,0.00,80.00,12.00,920,3.50,2.00,2,2,1,1,3,03,1,2,8,10,1
141,0,0,1,74.29,0.00,0.00,13.00,563.33,3.85,2.00,0,2,1,0,3,03,0,2,8,11,1
142,0,0,1,74.29,0.00,65.00,13.00,563.33,3.85,2.00,0,2,1,0,3,03,0,2,8,11,1
143,0,1,35,66.67,0.00,0.00,13.00,21666.67,3.00,2.00,1,2,1,1,5,4,3,4,9,5,1
144,0,2,27,65.00,0.00,0.00,13.00,21829.17,3.00,2.00,1,2,1,1,5,4,3,4,9,5,1
145,0,2,8,65.00,0.00,0.00,13.00,7041.67,3.00,2.00,1,2,1,1,5,4,3,4,9,5,1
146,0,2,15,63.95,0.00,0.00,13.00,13162.5,3.00,2.00,1,2,1,1,5,4,3,4,9,5,1
147,0,2,9,54.82,0.00,0.00,13.00,6532.5,3.00,2.00,1,0,1,1,5,4,3,4,9,6,1
148,0,1,5,74.29,0.00,79.75,12.00,5200,2.00,2.00,0,0,1,1,5,4,1,2,8,11,1
149,0,0,1,42.11,30.48,160.00,12.00,1600,2.50,2.00,1,0,0,0,5,4,0,2,8,11,1
150,1,1,3,70.73,64.44,65.91,12.00,2900,3.00,2.00,0,0,0,0,6,6,0,3,8-,13,1
151,0,1,13,3.48,7.33,9.92,12.00,5500,0.00,2.00,0,0,0,1,5,4,1,2,6,14,1
152,0,0,2,39.33,43.18,79.83,13.00,1029.17,3.00,2.00,0,0,0,1,5,4,4,4,9,6,1
153,0,2,6,52.18,51.82,80.08,13.00,3845.83,3.00,2.00,0,0,0,1,5,4,4,4,9,6,1
154,0,0,3,44.32,46.53,80.00,13.00,1235,3.00,2.00,0,0,0,1,5,4,4,4,9,6,1
155,1,0,1,80.00,52.57,55.76,11.50,1763.33,2.50,1.00,1,0,0,0,4,23,0,2,5,16,1
156,0,0,3,80.00,49.33,80.00,12.00,1480,3.00,2.00,0,0,0,0,6,6,0,2,8-,13,1
157,0,2,6,79.85,49.36,48.68,13.00,5882.5,3.00,2.00,0,0,0,1,4,23,1,2,8-,12,1
158,1,1,3,66.67,47.50,63.02,12.00,19000,3.00,2.00,0,2,0,1,3,03,2,4,8,9,1
159,0,0,3,51.20,51.20,80.00,13.00,1386.67,3.00,2.00,0,2,1,1,5,4,4,4,9,2,1
160,0,1,5,52.17,50.63,80.00,13.00,4333.33,3.00,2.00,0,2,0,1,5,4,4,4,9,5,1
161,1,0,3,74.86,64.91,57.37,10.00,4733.33,0.75,2.00,0,0,0,1,5,4,0,2,8-,12,1
162,0,3,1,47.06,0.00,0.00,12.00,8000,3.00,2.00,0,0,0,0,3,03,0,3,8-,13,10
163,1,0,2,80.00,65.11,50.99,13.00,1657.5,3.00,1.50,0,0,0,1,3,03,0,2,5,16,1
164,1,0,1,72.73,43.96,80.00,10.00,1666.67,1.00,0.00,1,0,0,0,3,03,0,3,5-,17,1
165,1,0,1,80.00,70.82,74.48,10.00,9000,1.00,0.00,1,0,0,0,5,4,0,3,5,16,1
166,1,0,2,80.00,65.68,55.52,10.00,2600,1.00,0.00,0,0,0,1,5,4,1,2,8-,13,1
167,1,2,10,49.50,52.63,243.90,12.00,20000,1.50,2.00,0,0,2,0,5,4,2,4,8,8,1
168,1,0,2,80.00,64.00,64.00,10.00,2533.33,1.00,0.00,0,0,0,1,5,4,1,2,8-,13,1
169,1,1,3,80.00,54.74,70.91,12.00,7800,1.00,2.00,0,0,0,1,5,4,2,2,8-,12,1
170,0,2,6,56.89,49.78,51.69,13.00,3640,3.00,2.00,0,0,0,1,5,4,4,4,9,7,1
171,0,0,4,70.67,65.00,80.62,13.00,2253.33,3.00,2.00,0,0,0,1,5,4,4,4,9,7,1
172,0,0,1,70.83,62.87,76.09,10.50,4593.75,1.00,2.00,1,0,0,0,4,23,1,2,8-,12,1
173,1,0,1,66.43,54.29,79.83,12.00,1330,2.00,2.00,1,0,0,0,6,6,0,3,8-,13,1
174,0,0,3,20.83,23.50,45.90,12.00,14100,0.00,2.00,0,0,0,1,5,4,1,2,8,9,1
175,1,0,3,80.95,65.00,66.94,11.00,17875,2.50,2.00,0,0,0,1,5,4,2,2,8-,12,1
176,0,0,3,64.29,56.25,44.71,10.50,7875,2.00,0.00,0,0,0,1,6,6,0,2,8,11,1
177,0,1,5,66.67,0.00,0.00,13.00,4875,3.00,2.00,0,2,1,1,5,4,4,4,9,3,1
178,0,1,5,60.00,27.27,47.57,12.00,3000,2.00,2.00,0,0,0,1,5,4,1,2,8,11,1
179,0,2,6,62.07,0.00,257.14,13.00,4875,3.00,2.00,0,2,1,1,5,4,4,4,9,3,1
180,1,0,1,75.12,65.00,78.00,11.00,3575,3.00,0.00,1,0,0,0,3,03,0,3,5-,17,1
181,1,3,1,77.78,0.00,80.00,12.50,2916.67,3.00,2.00,0,0,0,0,5,4,0,3,6,14,1
182,0,1,10,65.00,0.00,292.60,10.00,18958.33,2.00,0.00,0,0,0,0,3,03,0,3,6,15,10
183,0,0,1,64.63,0.00,0.00,10.75,2373.96,3.00,0.75,0,2,1,0,5,4,0,3,8,8,1
184,0,3,4,55.28,0.00,398.64,12.00,9950,3.50,2.00,0,1,0,0,3,03,0,3,8,11,1
185,1,0,1,70.00,64.00,79.83,10.50,1680,1.00,0.00,1,0,0,1,5,4,0,3,6,15,1
186,1,0,1,76.00,60.00,80.00,10.50,1365,3.00,0.00,1,0,0,1,4,23,0,3,5,16,11
187,1,1,6,57.33,64.76,51.59,10.00,11333.33,0.75,0.00,0,0,0,1,5,4,1,2,8,10,1
188,0,0,1,33.30,0.00,118.93,10.00,13875,1.00,0.00,0,0,0,1,4,23,1,2,8,10,1
189,1,0,1,76.80,53.33,80.00,12.00,1280,3.00,1.00,1,0,0,0,3,03,0,3,5-,17,1
190,1,0,3,76.92,0.00,80.00,10.00,8333.33,3.00,0.00,0,1,1,0,4,23,1,2,8-,11,1
191,0,1,25,65.00,0.00,107.25,13.00,23237.5,3.00,2.00,0,2,1,1,5,4,4,4,9,3,1
192,0,0,1,68.44,59.09,52.46,10.00,2708.33,0.00,0.00,1,0,0,1,6,6,0,3,8-,13,1
193,1,3,1,46.15,52.41,59.88,12.00,4140,3.00,2.00,1,2,0,0,5,4,2,2,9,5,1
194,1,0,1,66.67,56.70,60.39,11.00,2676.67,0.00,1.00,1,0,0,1,5,4,1,2,8-,12,1
195,0,0,1,79.00,0.00,0.00,10.00,2633.33,1.00,0.00,0,0,0,1,5,4,1,2,8-,12,1
196,1,0,1,80.00,60.76,79.34,10.50,2100,3.00,0.00,1,0,0,1,5,4,0,1,5-,16,1
197,0,0,1,14.32,13.88,0.00,13.00,736.67,3.00,2.00,1,0,1,0,4,23,0,3,5,16,1
198,0,0,2,71.72,0.00,80.00,11.00,953.33,3.00,1.00,0,2,1,1,6,6,0,2,8,9,1
199,0,2,5,65.08,0.00,71.82,13.00,4582.5,4.00,2.00,0,2,1,1,5,4,4,4,9,3,1
200,0,0,2,65.00,0.00,66.16,13.00,1690,4.00,2.00,0,2,1,1,5,4,4,4,9,3,1
201,0,0,2,64.90,64.90,345.65,13.00,1722.5,4.00,2.00,0,2,1,1,5,4,4,4,9,3,1
202,0,0,3,64.91,0.00,284.62,13.00,2004.17,4.00,2.00,0,2,1,1,5,4,4,4,9,3,1
203,0,0,3,64.81,0.00,71.25,13.00,1895.83,4.00,2.00,0,2,1,1,5,4,4,4,9,3,1
204,0,0,2,64.80,0.00,0.00,13.00,1755,4.00,2.00,0,2,1,1,5,4,4,4,9,3,1
205,0,0,2,64.71,0.00,253.85,13.00,1787.5,4.00,2.00,0,2,1,1,5,4,4,4,9,3,1
206,0,0,3,64.80,0.00,67.19,13.00,1755,4.00,2.00,0,2,1,1,5,4,4,4,9,3,1
207,0,1,6,64.90,0.00,45.38,13.00,5449.17,3.00,2.00,0,2,1,1,5,4,4,4,9,3,1
208,0,2,6,64.90,0.00,78.23,13.00,5449.17,4.00,0.00,0,2,1,1,5,4,4,4,9,3,1
209,0,0,3,65.00,0.00,286.44,13.00,1830.83,4.00,2.00,0,2,1,1,5,4,4,4,9,3,1
210,0,0,2,64.90,0.00,227.14,13.00,1722.5,4.00,2.00,0,2,1,1,5,4,4,4,9,3,1
211,0,0,3,64.81,0.00,70.06,13.00,1895.83,4.00,2.00,0,2,1,1,5,4,4,4,8,3,1
212,0,1,8,65.00,0.00,72.48,13.00,7041.67,4.00,2.00,0,2,1,1,5,4,4,4,9,3,1
213,0,1,6,65.00,0.00,45.26,13.00,5633.33,3.00,2.00,0,2,1,1,5,4,4,4,9,3,1
214,0,1,5,79.85,0.00,0.00,12.00,21000,1.00,2.00,0,2,1,1,3,03,2,2,8,11,10
215,1,1,6,77.24,0.00,80.00,10.00,4666.67,1.25,0.00,0,1,1,1,5,4,1,2,8,10,1
216,1,2,6,80.00,65.00,71.84,10.00,11375,2.00,0.00,0,0,0,1,6,6,1,2,8-,12,1
217,1,0,1,80.00,50.43,69.05,10.50,1015,0.00,0.00,1,0,0,0,4,23,0,2,5,16,1
218,0,0,1,30.00,51.69,70.30,12.00,24810,1.50,2.00,0,0,0,1,5,4,2,2,8,8,1
219,0,0,3,65.00,0.00,80.48,13.00,1830.83,4.00,2.00,0,0,0,1,5,4,4,4,9,6,1
220,0,0,3,65.09,0.00,83.29,13.00,1939.17,4.00,2.00,0,0,0,1,5,4,4,4,9,6,1
221,0,0,4,6.82,0.00,0.00,14.00,1750,4.00,0.00,0,2,1,0,5,4,0,3,8-,12,1
222,0,2,8,63.00,65.14,260.55,9.50,16759.58,2.00,0.00,0,0,0,1,5,4,4,4,9,6,1
223,0,0,1,69.41,64.88,74.84,9.50,13355.42,2.00,0.00,0,0,0,1,5,4,4,4,9,6,10
224,0,2,8,66.20,71.27,127.53,9.50,16925.83,2.00,0.00,0,0,0,1,5,4,4,4,9,6,1
225,0,0,2,70.00,0.00,316.98,10.00,1400,3.00,0.00,0,2,1,0,6,6,0,3,8,10,1
226,0,0,1,65.00,65.45,75.79,10.50,3150,0.00,0.00,1,0,0,1,6,6,0,3,8-,13,1
227,1,1,2,53.60,48.00,71.92,10.00,2500,2.25,0.00,0,0,0,0,5,4,1,2,8,10,1
228,0,2,33,64.71,0.00,80.05,13.00,23833.33,3.00,2.00,0,2,1,1,5,4,4,4,9,1,1
229,0,2,14,64.29,0.00,61.36,13.00,14625,3.00,2.00,0,2,1,1,5,4,4,4,9,3,1
230,0,0,2,64.90,0.00,79.50,13.00,1722.5,0.00,2.00,0,0,0,1,5,4,4,4,9,6,1
231,0,0,1,5.00,8.67,0.00,12.00,6500,0.00,2.00,0,0,0,1,5,4,1,2,8-,13,1
232,0,1,18,66.00,44.44,55.64,12.00,40000,1.25,2.00,0,0,0,1,6,6,2,2,8,9,1
233,1,0,1,58.35,49.92,66.27,10.00,2600,2.00,0.00,1,0,0,1,5,4,0,3,8-,13,1
234,1,1,7,74.67,59.00,62.11,12.00,2360,2.00,2.00,0,0,0,0,6,6,0,3,8-,13,1
235,1,0,1,80.00,0.00,73.33,10.50,770,3.00,0.00,0,2,1,0,5,4,0,3,8-,12,1
236,1,1,13,78.46,45.45,84.18,9.50,19791.67,3.00,0.00,1,1,1,1,4,23,3,2,8,10,1
237,0,2,8,65.33,62.03,0.00,9.50,9697.92,0.00,0.00,0,0,0,1,5,4,1,2,8,11,1
